customer_id,card_type,products_count,mnths_with_bank,mnths_inactive_last_year,contacts_last_year,education,martial_status,gender,earnings_bucket,age,family_size,cc_limit,trans_amount,trans_count,amount_change,count_change,revolving_balance,open_to_buy_cl,util_ratio,TARGET
766285608,Blue,4,35.0,3,3,High School,Single,M,$40K - $60K,42,3,3266.0,2183.0,56.0,1.568,0.75,1900,1366.0,0.5820000000000001,0
716452908,Blue,4,36.0,2,3,Unknown,Single,F,Less than $40K,36,1,9239.0,2246.0,44.0,0.823,0.833,1421,7818.0,0.154,0
711671058,Blue,5,38.0,2,2,Uneducated,Married,F,Unknown,48,1,1438.3,2171.0,38.0,0.574,0.462,0,1438.3,0.0,1
720108783,Blue,6,50.0,3,3,Uneducated,Single,F,Unknown,60,1,7459.0,4328.0,68.0,1.001,0.581,1717,5742.0,0.23,0
786493908,Silver,4,36.0,3,3,Uneducated,Single,F,Less than $40K,42,4,10091.0,3347.0,64.0,1.121,0.778,0,10091.0,0.0,0
711515433,Blue,3,36.0,1,2,Unknown,Single,,Less than $40K,55,2,2850.0,4320.0,85.0,0.625,0.735,2517,333.0,0.883,0
781320783,Blue,3,41.0,2,3,Graduate,Divorced,M,$80K - $120K,47,2,4586.0,2529.0,43.0,0.812,0.433,0,4586.0,0.0,1
714196008,Blue,5,25.0,3,1,Graduate,Unknown,M,$60K - $80K,43,2,7534.0,4685.0,79.0,0.5870000000000001,0.975,0,7534.0,0.0,0
791839233,Blue,5,36.0,3,2,Unknown,Divorced,F,Unknown,42,4,17536.0,1411.0,28.0,0.8590000000000001,0.474,1525,16011.0,0.087,0
713948808,Blue,3,47.0,2,2,High School,Single,M,$60K - $80K,55,3,1602.0,4873.0,97.0,0.8340000000000001,0.764,962,640.0,0.6,0
720014358,Blue,5,26.0,2,4,Doctorate,Single,F,Less than $40K,38,1,1934.0,4019.0,78.0,0.72,0.857,985,949.0,0.509,0
719018208,Blue,6,46.0,4,3,Doctorate,Married,F,Unknown,52,0,7210.0,2516.0,36.0,0.769,0.8,0,7210.0,0.0,1
823519458,Blue,1,40.0,1,3,Graduate,Married,F,Less than $40K,44,3,6441.0,7123.0,94.0,0.64,0.49200000000000005,2151,4290.0,0.33399999999999996,0
711542358,Gold,2,36.0,3,2,High School,Married,F,Less than $40K,42,4,15987.0,7471.0,88.0,0.597,0.467,1187,14800.0,0.07400000000000001,0
824192658,Blue,4,54.0,2,3,Post-Graduate,Single,F,Less than $40K,58,3,8886.0,4148.0,79.0,0.6940000000000001,0.7559999999999999,0,8886.0,0.0,0
716059608,Blue,4,38.0,3,3,College,Single,F,Less than $40K,48,4,4894.0,3277.0,67.0,0.78,0.5579999999999999,1505,3389.0,0.308,0
714985458,Blue,3,36.0,2,3,Graduate,Married,M,$60K - $80K,56,1,15124.0,1850.0,44.0,0.826,0.5710000000000001,1974,13150.0,0.131,0
715937133,Blue,6,52.0,2,2,Uneducated,Married,F,$40K - $60K,64,1,4999.0,1601.0,48.0,0.716,0.5,2299,2700.0,0.46,0
715459158,Blue,2,26.0,1,2,High School,Unknown,F,Unknown,35,4,16950.0,7821.0,97.0,0.625,0.672,0,16950.0,0.0,0
710502258,Blue,5,36.0,3,4,Graduate,Single,M,$60K - $80K,39,3,2527.0,4598.0,85.0,0.9,0.7709999999999999,2204,323.0,0.872,0
804606033,Blue,6,41.0,1,2,High School,Unknown,M,$40K - $60K,46,4,8738.0,3121.0,60.0,0.65,0.395,1172,7566.0,0.134,0
709206333,Blue,3,30.0,4,4,Graduate,Single,F,$40K - $60K,44,4,4333.0,1558.0,40.0,0.46299999999999997,0.5379999999999999,0,4333.0,0.0,1
711670308,Blue,3,30.0,2,0,Unknown,Married,F,Less than $40K,51,3,6006.0,3199.0,65.0,0.504,0.5479999999999999,1576,4430.0,0.262,0
718187508,Blue,3,36.0,4,3,Unknown,Married,F,Unknown,53,2,2592.0,4208.0,68.0,0.679,0.7,1364,1228.0,0.526,0
768475383,Blue,6,56.0,1,2,Unknown,Single,F,$40K - $60K,62,0,4467.0,4007.0,74.0,0.888,0.542,0,4467.0,0.0,0
717368208,Blue,6,36.0,2,4,Graduate,Single,M,$120K +,200,1,26723.0,2138.0,43.0,0.716,0.593,0,26723.0,0.0,1
717249783,Blue,5,39.0,2,2,Unknown,Unknown,M,$60K - $80K,47,4,1815.0,1931.0,67.0,1.124,0.718,740,1075.0,0.408,0
708095133,Blue,5,34.0,2,2,Unknown,Unknown,M,$120K +,43,4,33304.0,1448.0,29.0,0.428,0.381,1833,31471.0,0.055,0
788783133,Blue,5,39.0,3,3,Post-Graduate,Married,F,Less than $40K,58,0,6679.0,1649.0,29.0,0.5379999999999999,0.381,1207,5472.0,0.18100000000000002,0
719614758,Blue,3,34.0,2,2,Graduate,Single,F,$40K - $60K,45,4,2700.0,4984.0,75.0,0.8009999999999999,1.083,1977,723.0,0.732,0
715739733,Blue,4,25.0,1,2,High School,Single,M,$40K - $60K,34,1,1793.0,5293.0,88.0,0.715,0.76,1141,652.0,0.636,0
708260208,Blue,4,36.0,3,2,Uneducated,Single,F,Less than $40K,43,5,2057.0,4321.0,76.0,0.562,0.6890000000000001,1279,778.0,0.622,0
789339633,Blue,4,41.0,2,3,Uneducated,Divorced,M,$120K +,51,2,30560.0,3736.0,55.0,0.721,0.7190000000000001,0,30560.0,0.0,0
719955558,Silver,2,24.0,2,3,Unknown,Married,M,Less than $40K,32,0,11511.0,14436.0,123.0,0.867,0.64,0,11511.0,0.0,0
739692933,Blue,4,29.0,2,4,Unknown,Single,F,$40K - $60K,46,2,3126.0,1638.0,41.0,1.235,0.519,2517,609.0,0.805,0
712721358,Blue,5,36.0,3,2,Uneducated,Divorced,F,Less than $40K,48,3,4073.0,2059.0,43.0,0.575,0.433,2517,1556.0,0.618,1
824140908,Blue,5,48.0,3,4,Uneducated,Single,M,$120K +,52,3,20974.0,1246.0,27.0,0.0,0.0,0,20974.0,0.0,1
716988633,Blue,6,46.0,1,2,High School,Divorced,M,$60K - $80K,55,0,9734.0,1476.0,38.0,0.785,0.9,0,9734.0,0.0,0
718508883,Blue,6,36.0,3,3,Unknown,Single,F,Less than $40K,43,3,2325.0,2306.0,47.0,0.64,0.621,238,2087.0,0.102,1
810875958,Blue,1,46.0,4,3,Graduate,Married,F,Less than $40K,51,3,2016.0,2473.0,44.0,0.711,0.5710000000000001,395,1621.0,0.196,1
708770883,Blue,2,24.0,2,2,Uneducated,Married,M,$80K - $120K,43,2,16667.0,15301.0,115.0,0.8029999999999999,0.797,1463,15204.0,0.08800000000000001,0
789114408,Blue,3,38.0,1,4,Post-Graduate,Single,F,$40K - $60K,50,1,4182.0,4693.0,82.0,0.853,0.608,0,4182.0,0.0,0
711065133,Blue,6,13.0,2,4,High School,Single,M,$40K - $60K,26,1,1473.0,2099.0,39.0,0.813,0.857,0,1473.0,0.0,0
714436383,Blue,4,34.0,3,2,Graduate,Unknown,M,$80K - $120K,44,4,26856.0,4222.0,75.0,0.581,0.47100000000000003,0,26856.0,0.0,0
779692608,Blue,6,19.0,3,5,Uneducated,Married,M,$60K - $80K,36,1,9764.0,15097.0,115.0,0.6890000000000001,0.797,0,9764.0,0.0,0
778882758,Blue,5,36.0,5,4,Unknown,Married,F,Unknown,55,2,3602.0,1935.0,47.0,0.8390000000000001,1.474,2013,1589.0,0.5589999999999999,0
716602683,Blue,3,36.0,3,2,Graduate,Married,F,$40K - $60K,49,3,5678.0,5092.0,70.0,0.83,0.7070000000000001,2082,3596.0,0.36700000000000005,0
715769958,Blue,3,39.0,2,2,Unknown,Married,F,$40K - $60K,53,3,4855.0,14969.0,104.0,0.606,0.763,1912,2943.0,0.39399999999999996,0
718518858,Blue,4,39.0,3,3,Graduate,Married,F,$40K - $60K,200,3,1844.0,5056.0,81.0,0.9009999999999999,0.8,1388,456.0,0.753,0
717567333,Blue,6,26.0,3,2,Graduate,Married,M,$60K - $80K,35,3,3991.0,1661.0,35.0,0.748,0.9440000000000001,1982,2009.0,0.49700000000000005,0
826717533,Blue,6,38.0,1,1,Graduate,Unknown,M,$80K - $120K,200,3,16105.0,4631.0,76.0,0.9490000000000001,0.767,724,15381.0,0.045,0
826069983,Blue,4,42.0,0,3,Graduate,Single,F,Unknown,200,4,13376.0,4515.0,63.0,0.98,1.172,1633,11743.0,0.122,0
794665608,Blue,4,33.0,2,3,Graduate,Single,F,$40K - $60K,48,3,5724.0,4510.0,59.0,0.8170000000000001,0.903,582,5142.0,0.102,0
710833908,Blue,1,25.0,3,3,High School,Married,M,$80K - $120K,45,5,25601.0,12896.0,100.0,0.745,0.852,1384,24217.0,0.054000000000000006,0
714413283,Blue,6,40.0,1,1,Unknown,Married,M,$80K - $120K,46,3,10879.0,4629.0,69.0,0.9740000000000001,0.725,860,10019.0,0.079,0
